,highest_offense_description,year,count
2505,AGG SEXUAL ASSAULT W OBJECT,2012,9
2506,AGG SODOMY,2012,1
2507,AIRPORT - FEDERAL VIOL,2012,4
2508,AIRPORT PLACES WEAPON PROHIBIT,2012,4
2509,APPLIC TO REVOKE PROBATION,2012,88
2510,ARSON,2012,52
2511,ASSAULT  CONTACT-SEXUAL NATURE,2012,9
2512,ASSAULT - SCHOOL PERSONNEL,2012,1
2513,ASSAULT BY CONTACT,2012,502
2514,ASSAULT BY CONTACT FAM/DATING,2012,321
2515,ASSAULT BY THREAT,2012,501
2516,ASSAULT BY THREAT FAM/DATING,2012,142
2517,ASSAULT ON PUBLIC SERVANT,2012,48
2518,ASSAULT W/INJURY-FAM/DATE VIOL,2012,2661
2519,ASSAULT WITH INJURY,2012,1191
2520,AUTO THEFT,2012,926
2521,BAIL JUMPING/FAIL TO APPEAR,2012,1
2522,BOATING WHILE INTOXICATED,2012,3
2523,BOMB THREAT,2012,1
2524,BREACH OF COMPUTER SECURITY,2012,56
2525,BURG OF RES - FAM/DATING ASLT,2012,34
2526,BURG OF RES - SEXUAL NATURE,2012,2
2527,BURGLARY NON RESIDENCE,2012,943
2528,BURGLARY OF COIN-OP MACHINE,2012,59
2529,BURGLARY OF RESIDENCE,2012,3136
2530,BURGLARY OF VEHICLE,2012,6171
2531,CAMPING IN PARK,2012,142
2532,CHILD CUSTODY INTERFERE,2012,28
2533,CHILD ENDANGERMENT- ABANDONMEN,2012,145
2534,CIVIL DISTURBANCE/DEMO,2012,38
2535,COMPELLING PROSTITUTION,2012,5
2536,CONT SEX ABUSE OF CHILD,2012,3
2537,COUNTERFEITING,2012,64
2538,CRASH/FAIL STOP AND RENDER AID,2012,111
2539,CRASH/INTOX MANSLAUGHTER,2012,1
2540,CRASH/INTOXICATION ASSAULT,2012,10
2541,CRASH/MANSLAUGHTER,2012,1
2542,CRED CARD ABUSE - EXPIR-CANCEL,2012,8
2543,CRED CARD ABUSE - OTHER,2012,426
2544,CRED CARD ABUSE BY FORGERY,2012,59
2545,CRIM NEG HOMICIDE/NON TRAFFIC,2012,1
2546,CRIMES AGAINST ELDERLY,2012,1
2547,CRIMINAL CONSPIRACY,2012,1
2548,CRIMINAL MISCHIEF,2012,3627
2549,CRIMINAL MISCHIEF BY ARSON,2012,12
2550,CRIMINAL SOLICITATION OF MINOR,2012,1
2551,CRIMINAL TRESPASS,2012,436
2552,CRIMINAL TRESPASS/HOTEL,2012,17
2553,CRIMINAL TRESPASS/TRANSIENT,2012,167
2554,CRUELTY TO ANIMALS,2012,144
2555,CUSTODY ARREST TRAFFIC WARR,2012,1405
2556,DAMAGE CITY PROP,2012,127
2557,DATING DISTURBANCE,2012,466
2558,DEADLY CONDUCT,2012,50
2559,DEADLY CONDUCT FAM/DATE VIOL,2012,5
2560,DEBIT CARD ABUSE,2012,411
2561,DEL CONTROLLED SUB/NARCOTIC,2012,135
2562,DEL CONTROLLED SUB/OTHER,2012,4
2563,DEL CONTROLLED SUB/SYN NARC,2012,17
2564,DEL MARIJUANA,2012,7
2565,DEL OF ALCOHOL TO MINOR,2012,4
2566,DEPENDENT AND NEGLECTED CHILD,2012,1
2567,DESECRATION VENERATED OBJECT,2012,1
2568,DISRUPTION OF CLASSES,2012,2
2569,DISRUPTIVE ACTS AT SCHOOLS,2012,1
2570,DISTURBANCE - OTHER,2012,2352
2571,DOC ABUSE OR THREAT,2012,6
2572,DOC ABUSIVE LANGUAGE,2012,17
2573,DOC CREATING NOXIOUS ODOR,2012,1
2574,DOC DISCHARGE GUN - PUB PLACE,2012,30
2575,DOC DISCHARGE GUN - PUB ROAD,2012,9
2576,DOC DISPLAY GUN/DEADLY PUB PLC,2012,17
2577,DOC EXPOSURE,2012,34
2578,DOC FIGHTING,2012,75
2579,DOC OFFENSIVE GESTURE,2012,10
2580,DOC UNREASONABLE NOISE,2012,64
2581,DOC WINDOW PEEPING - PUB AREA,2012,2
2582,DOC WINDOW PEEPING-RESIDENCE,2012,31
2583,DRINKING AFTER CURFEW,2012,2
2584,DRIVING WHILE INTOX / FELONY,2012,129
2585,DUI - AGE 16 AND UNDER,2012,4
2586,DUI - AGE 17 TO 20,2012,23
2587,DUMPING REFUSE NEAR HIGHWAY,2012,13
2588,DWI,2012,1712
2589,DWI  .15 BAC OR ABOVE,2012,313
2590,DWI - CHILD PASSENGER,2012,31
2591,DWI - DRUG RECOGNITION EXPERT,2012,10
2592,DWI 2ND,2012,293
2593,ENTICING A CHILD,2012,5
2594,ESCAPE FROM CUSTODY,2012,4
2595,EVADING / FOOT,2012,108
2596,EVADING / VEHICLE PURSUIT,2012,22
2597,EVADING VEHICLE,2012,52
2598,EXPLOSIVE ORDNANCE DISPOSAL,2012,31
2599,FAILURE TO IDENTIFY,2012,161
2600,FAILURE TO REG AS SEX OFFENDER,2012,23
2601,FALSE ALARM OR REPORT,2012,52
2602,FALSE REPORT TO PEACE OFFICER,2012,26
2603,FALSE STATEMENT -OBTAIN CREDIT,2012,7
2604,FAMILY DISTURBANCE,2012,6305
2605,FAMILY DISTURBANCE/PARENTAL,2012,473
2606,FEDERAL VIOL/OTHER,2012,22
2607,FELONY ENHANCEMENT/ASSLT W/INJ,2012,246
2608,FORCED SODOMY,2012,1
2609,FORGERY - OTHER,2012,75
2610,FORGERY AND PASSING,2012,200
2611,FORGERY BY ALTERATION,2012,17
2612,FORGERY BY MAKING,2012,63
2613,FORGERY OF IDENTIFICATION,2012,3
2614,FORGERY- CERTIFICATE OF TITLE,2012,13
2615,FRAUD - OTHER,2012,436
2616,FRAUD DESTRUCTION OF A WRITING,2012,1
2617,FRAUD FILING FINANCE STATEMENT,2012,1
2618,GAMBLING,2012,25
2619,GAMBLING PROMOTION,2012,5
2620,GIFT TO PUBLIC SERVANT,2012,1
2621,GRAFFITI,2012,530
2622,HARASSMENT,2012,2171
2623,HARASSMENT OF A PUBLIC SERVANT,2012,4
2624,HARASSMENT ONLINE,2012,6
2625,HARBORING RUNAWAY CHILD,2012,3
2626,HINDER SECURED CREDITORS,2012,18
2627,HINDERING APPREHENSION,2012,1
2628,IDENTITY THEFT,2012,672
2629,IDENTITY THEFT-TAX RETURNS,2012,2
2630,ILLEGAL LABELLING OF RECORDING,2012,2
2631,IMMIGRATION HOLD/ARREST,2012,8
2632,IMPERSONATING PUBLIC SERVANT,2012,11
2633,IMPROPER CONTACT-SEX ASLT VICT,2012,2
2634,INDECENCY WITH A CHILD/CONTACT,2012,170
2635,INDECENCY WITH CHILD/EXPOSURE,2012,16
2636,INDECENT EXPOSURE,2012,51
2637,INHALANT ABUSE,2012,1
2638,INJ TO DISABLED  FAM/DATE VIOL,2012,6
2639,INJ TO ELDERLY   FAM/DATE VIOL,2012,21
2640,INJ/CHILD FV (NO CARE/CUSTODY),2012,7
2641,INJURY DISABLED INDIVIDUAL,2012,81
2642,INJURY TO CHILD,2012,66
2643,INJURY TO CHILD (CARE/CUSTODY),2012,27
2644,INJURY TO ELDERLY PERSON,2012,13
2645,INTER EMERG PHONECALL FAM/DATE,2012,24
2646,INTERFERE W PO SERVICE ANIMALS,2012,4
2647,INTERFERENCE PUBLIC DUTIES,2012,8
2648,INTERFERING W/EMERG PHONE CALL,2012,6
2649,INVASIVE VISUAL RECORDING,2012,13
2650,ISSUANCE OF BAD CHECK,2012,1
2651,KEEPING GAMBLING PLACE,2012,1
2652,KIDNAPPING,2012,9
2653,LIQUOR LAW VIOLATION/OTHER,2012,41
2654,LITTERING,2012,57
2655,MAKING TOBACCO AVAIL TO MINOR,2012,15
2656,MANF CONTROLLED SUB - OTHER,2012,2
2657,MANF CONTROLLED SUB- SYN NARC,2012,1
2658,MANSLAUGHTER,2012,1
2659,MISAPPLY FIDUCIARY PROP,2012,4
2660,MONEY LAUNDERING,2012,3
2661,MURDER,2012,14
2662,NUISANCE ABATEMENT,2012,8
2663,OBSCENE DISPLAY - DISTRIBUTION,2012,4
2664,OBTAIN CONTROLLED SUB BY FRAUD,2012,24
2665,OBTAIN DANG DRUG BY FRAUD,2012,1
2666,OFFICIAL OPPRESSION,2012,1
2667,ONLINE IMPERSONATION,2012,45
2668,PAROLE VIOL,2012,55
2669,PIGEON DROP,2012,2
2670,POCKET PICKING,2012,2
2671,POSS CONTROLLED SUB/NARCOTIC,2012,649
2672,POSS CONTROLLED SUB/OTHER,2012,51
2673,POSS CONTROLLED SUB/SYN NARC,2012,40
2674,POSS DANG DRUG,2012,50
2675,POSS OF ALCOHOL - AGE 17 TO 20,2012,39
2676,POSS OF ALCOHOL-AGE 16 & UNDER,2012,4
2677,POSS OF DRUG PARAPHERNALIA,2012,581
2678,POSS OF FIREARM BY FELON,2012,32
2679,POSS OF GAMBLING EQUIPMENT,2012,1
2680,POSS OF PROHIBITED WEAPON,2012,31
2681,POSS/PROMO CHILD PORNOGRAPHY,2012,17
2682,POSSESSION OF MARIJUANA,2012,1229
2683,PROBATION VIOL,2012,11
2684,PROMOTION OF PROSTITUTION,2012,5
2685,PROSTITUTION,2012,106
2686,PROTECTIVE ORDER,2012,378
2687,PROWLER,2012,28
2688,PUBLIC INTOXICATION,2012,1287
2689,PUBLIC LEWDNESS,2012,15
2690,PURSE SNATCHING,2012,5
2691,RAPE,2012,142
2692,RAPE OF A CHILD,2012,9
2693,RECKLESS CONDUCT,2012,2
2694,RECKLESS DAMAGE,2012,37
2695,RESISTING ARREST OR SEARCH,2012,42
2696,RETALIATION,2012,31
2697,ROBBERY BY ASSAULT,2012,152
2698,ROBBERY BY THREAT,2012,29
2699,RUNAWAY CHILD,2012,1155
2700,SECURING EXEC-DOC BY DECEPTION,2012,1
2701,SEXUAL ASSAULT OF CHILD/OBJECT,2012,109
2702,SEXUAL ASSAULT W/ OBJECT,2012,123
2703,SIT AND LIE ORDINANCE VIOL,2012,100
2704,SMUGGLING ILLEGAL ALIEN,2012,4
2705,STALKING,2012,28
2706,STATUTORY RAPE OF CHILD,2012,3
2707,SUSPICIOUS PERSON,2012,12
2708,TAMPERING WITH CONSUMER PROD,2012,2
2709,TAMPERING WITH EVIDENCE,2012,27
2710,TAMPERING WITH GOV RECORD,2012,3
2711,TELECOMMUNICATION CRIMES/OTHER,2012,2
2712,TERRORISTIC THREAT,2012,406
2713,TERRORISTIC THREAT-FAM/DAT VIO,2012,191
2714,THEFT,2012,5054
2715,THEFT BY CHECK,2012,16
2716,THEFT BY EMBEZZLEMENT,2012,5
2717,THEFT BY FALSE PRETEXT/BUNCO,2012,3
2718,THEFT BY PUBLIC SERVANT,2012,1
2719,THEFT BY SHOPLIFTING,2012,681
2720,THEFT CATALYTIC CONVERTER,2012,1
2721,THEFT FROM AUTO,2012,257
2722,THEFT FROM BUILDING,2012,63
2723,THEFT FROM PERSON,2012,148
2724,THEFT OF AUTO PARTS,2012,126
2725,THEFT OF BICYCLE,2012,655
2726,THEFT OF HEAVY EQUIPMENT,2012,6
2727,THEFT OF LICENSE PLATE,2012,179
2728,THEFT OF METAL,2012,140
2729,THEFT OF SERVICE,2012,379
2730,THEFT OF TELECOMMUNICATION SRV,2012,3
2731,THEFT OF TRAILER,2012,87
2732,THEFT- APPROPRIATE STOLEN PROP,2012,2
2733,THEFT/TILL TAPPING,2012,3
2734,TOBACCO VIOL - AGE 17,2012,4
2735,TOBACCO VIOL - UNDER AGE 17,2012,15
2736,TRADEMARK COUNTERFEITING,2012,4
2737,TRAFFICKING OF PERSONS,2012,4
2738,TRUANCY,2012,1
2739,UCW LICENSE PREMISE,2012,2
2740,UNLAWFUL CARRY-LIC HOLDER,2012,3
2741,UNLAWFUL CARRYING WEAPON,2012,71
2742,UNLAWFUL RESTRAINT,2012,9
2743,UNLAWFUL RESTRAINT FAM/DAT VIO,2012,5
2744,URINATING IN PUBLIC PLACE,2012,67
2745,VIOL CITY ORDINANCE -  GAME RM,2012,9
2746,VIOL CITY ORDINANCE - CURFEW,2012,75
2747,VIOL CITY ORDINANCE - DOG,2012,68
2748,VIOL CITY ORDINANCE - OTHER,2012,439
2749,VIOL CITY ORDINANCE - SMOKING,2012,10
2750,VIOL CITY ORDINANCE - SOUND,2012,17
2751,VIOL CITY ORDINANCE - TITLE 10,2012,1
2752,VIOL CITY ORDINANCE - WRECKER,2012,82
2753,VIOL CITY ORDINANCE -FIREWORK,2012,5
2754,VIOL GLASS CONTAINER,2012,3
2755,VIOL OF EMERG PROTECTIVE ORDER,2012,58
2756,VIOL OF PARK CURFEW,2012,38
2757,VIOL OF PROTECTIVE ORDER,2012,199
2758,VIOL STATE LAW - OTHER,2012,158
2759,VIOL STATE MASSAGE REGULATIONS,2012,1
2760,VIOL STAY AWAY ORDER,2012,6
2761,VIOL TEMP EX PARTE  ORDER,2012,5
2762,VOCO - ALCOHOL  CONSUMPTION,2012,148
2763,VOCO AMPLIFIED MUSIC/VEHICLE,2012,59
2764,VOCO SOLICITATION PROHIBIT,2012,189
2765,WARRANT ARREST NON TRAFFIC,2012,1361
2766,WEAPON VIOL - OTHER,2012,2
2767,AGG ASLT ENHANC STRANGL/SUFFOC,2013,90
2768,AGG ASLT STRANGLE/SUFFOCATE,2013,239
2769,AGG ASLT W/MOTOR VEH FAM/DAT V,2013,18
2770,AGG ASSAULT,2013,283
2771,AGG ASSAULT FAM/DATE VIOLENCE,2013,225
2772,AGG ASSAULT ON PUBLIC SERVANT,2013,6
2773,AGG ASSAULT WITH MOTOR VEH,2013,43
2774,AGG FORCED SODOMY OF CHILD,2013,2
2775,AGG KIDNAPPING,2013,1
2776,AGG RAPE,2013,3
2777,AGG RAPE OF A CHILD,2013,33
2778,AGG ROBBERY BY ASSAULT,2013,6
2779,AGG ROBBERY/DEADLY WEAPON,2013,176
2780,AGG SEXUAL ASSAULT CHILD/OBJEC,2013,64
2781,AGG SEXUAL ASSAULT W OBJECT,2013,9
2782,AIRPORT - FEDERAL VIOL,2013,5
2783,AIRPORT PLACES WEAPON PROHIBIT,2013,4
2784,APPLIC TO REVOKE PROBATION,2013,62
2785,ARSON,2013,33
2786,ARSON WITH BODILY INJURY,2013,2
2787,ASSAULT  CONTACT-SEXUAL NATURE,2013,48
2788,ASSAULT - SCHOOL PERSONNEL,2013,2
2789,ASSAULT BY CONTACT,2013,482
2790,ASSAULT BY CONTACT FAM/DATING,2013,313
2791,ASSAULT BY THREAT,2013,473
2792,ASSAULT BY THREAT FAM/DATING,2013,117
2793,ASSAULT ON PUBLIC SERVANT,2013,46
2794,ASSAULT W/INJURY-FAM/DATE VIOL,2013,2382
2795,ASSAULT WITH INJURY,2013,1189
2796,AUTO THEFT,2013,979
2797,BAIL JUMPING/FAIL TO APPEAR,2013,1
2798,BOATING WHILE INTOXICATED,2013,5
2799,BOMB THREAT,2013,2
2800,BREACH OF COMPUTER SECURITY,2013,47
2801,BURG NON RESIDENCE SHEDS,2013,53
2802,BURG OF RES - FAM/DATING ASLT,2013,30
2803,BURG OF RES - SEXUAL NATURE,2013,13
2804,BURGLARY NON RESIDENCE,2013,874
2805,BURGLARY OF COIN-OP MACHINE,2013,52
2806,BURGLARY OF RESIDENCE,2013,2714
2807,BURGLARY OF VEHICLE,2013,5840
2808,CAMPING IN PARK,2013,152
2809,CAPITAL MURDER,2013,1
2810,CHILD CUSTODY INTERFERE,2013,335
2811,CHILD ENDANGERMENT- ABANDONMEN,2013,136
2812,CIVIL DISTURBANCE/DEMO,2013,44
2813,COMPELLING PROSTITUTION,2013,5
2814,CONT SEX ABUSE OF CHILD,2013,1
2815,CONTROLLED SUB VIOL - OTHER,2013,1
2816,COUNTERFEITING,2013,49
2817,CRASH/FAIL STOP AND RENDER AID,2013,117
2818,CRASH/INTOX MANSLAUGHTER,2013,2
2819,CRASH/INTOXICATION ASSAULT,2013,9
2820,CRED CARD ABUSE - EXPIR-CANCEL,2013,5
2821,CRED CARD ABUSE - OTHER,2013,361
2822,CRED CARD ABUSE BY FORGERY,2013,48
2823,CRIMINAL MISCHIEF,2013,3094
2824,CRIMINAL MISCHIEF BY ARSON,2013,10
2825,CRIMINAL SOLICITATION,2013,1
2826,CRIMINAL SOLICITATION OF MINOR,2013,7
2827,CRIMINAL TRESPASS,2013,412
2828,CRIMINAL TRESPASS/HOTEL,2013,18
2829,CRIMINAL TRESPASS/TRANSIENT,2013,86
2830,CRUELTY TO ANIMALS,2013,108
2831,CUSTODY ARREST TRAFFIC WARR,2013,1020
2832,DAMAGE CITY PROP,2013,100
2833,DANG DRUG VIOL - OTHER,2013,1
2834,DATING DISTURBANCE,2013,489
2835,DEADLY CONDUCT,2013,40
2836,DEBIT CARD ABUSE,2013,304
2837,DEL CONTROLLED SUB/NARCOTIC,2013,127
2838,DEL CONTROLLED SUB/OTHER,2013,4
2839,DEL CONTROLLED SUB/SYN NARC,2013,22
2840,DEL MARIJUANA,2013,7
2841,DEL OF ALCOHOL TO MINOR,2013,4
2842,DEL OF DANG DRUG,2013,1
2843,DEPENDENT AND NEGLECTED CHILD,2013,2
2844,DISRUPTIVE ACTS AT SCHOOLS,2013,2
2845,DISTURBANCE - OTHER,2013,2395
2846,DOC ABUSE OR THREAT,2013,10
2847,DOC ABUSIVE LANGUAGE,2013,12
2848,DOC DISCHARGE GUN - PUB PLACE,2013,18
2849,DOC DISCHARGE GUN - PUB ROAD,2013,4
2850,DOC DISPLAY GUN/DEADLY PUB PLC,2013,19
2851,DOC EXPOSURE,2013,35
2852,DOC FIGHTING,2013,91
2853,DOC OFFENSIVE GESTURE,2013,8
2854,DOC UNREASONABLE NOISE,2013,42
2855,DOC WINDOW PEEPING-RESIDENCE,2013,30
2856,DRIVING WHILE INTOX / FELONY,2013,136
2857,DUI - AGE 16 AND UNDER,2013,3
2858,DUI - AGE 17 TO 20,2013,20
2859,DUMPING REFUSE NEAR HIGHWAY,2013,7
2860,DWI,2013,1786
2861,DWI  .15 BAC OR ABOVE,2013,323
2862,DWI - CHILD PASSENGER,2013,39
2863,DWI - DRUG RECOGNITION EXPERT,2013,19
2864,DWI 2ND,2013,304
2865,ENTICING A CHILD,2013,10
2866,EVADING / FOOT,2013,81
2867,EVADING / VEHICLE PURSUIT,2013,25
2868,EVADING VEHICLE,2013,78
2869,EXP-VIOL CITY ORDINANCE - TAXI,2013,2
2870,EXPLOSIVE ORDNANCE DISPOSAL,2013,40
2871,FAILURE TO IDENTIFY,2013,137
2872,FAILURE TO REG AS SEX OFFENDER,2013,26
2873,FALSE ALARM OR REPORT,2013,49
2874,FALSE REPORT TO CPS,2013,2
2875,FALSE REPORT TO PEACE OFFICER,2013,31
2876,FALSE STATEMENT -OBTAIN CREDIT,2013,13
2877,FAMILY DISTURBANCE,2013,6577
2878,FAMILY DISTURBANCE/PARENTAL,2013,562
2879,FEDERAL VIOL/OTHER,2013,70
2880,FELONY ENHANCEMENT/ASSLT W/INJ,2013,171
2881,FORCED SODOMY,2013,11
2882,FORGERY - OTHER,2013,91
2883,FORGERY AND PASSING,2013,238
2884,FORGERY BY ALTERATION,2013,18
2885,FORGERY BY MAKING,2013,35
2886,FORGERY OF IDENTIFICATION,2013,6
2887,FORGERY- CERTIFICATE OF TITLE,2013,1
2888,FRAUD - OTHER,2013,613
2889,FRAUD DESTRUCTION OF A WRITING,2013,1
2890,GAMBLING,2013,19
2891,GAMBLING PROMOTION,2013,5
2892,GRAFFITI,2013,405
2893,HARASSMENT,2013,1583
2894,HARASSMENT OF A PUBLIC SERVANT,2013,11
2895,HARASSMENT ONLINE,2013,2
2896,HARBORING RUNAWAY CHILD,2013,9
2897,HINDER SECURED CREDITORS,2013,8
2898,HINDERING APPREHENSION,2013,9
2899,HINDERING PROCEEDING,2013,1
2900,IDENTITY THEFT,2013,551
2901,IDENTITY THEFT-TAX RETURNS,2013,2
2902,ILLUMIN AIRCRAFT INTENSE LIGHT,2013,2
2903,IMMIGRATION HOLD/ARREST,2013,25
2904,IMPERSONATING PUBLIC SERVANT,2013,8
2905,INDECENCY WITH A CHILD/CONTACT,2013,154
2906,INDECENCY WITH CHILD/EXPOSURE,2013,12
2907,INDECENT EXPOSURE,2013,54
2908,INHALANT ABUSE,2013,9
2909,INJ TO DISABLED  FAM/DATE VIOL,2013,3
2910,INJ TO ELDERLY   FAM/DATE VIOL,2013,24
2911,INJ/CHILD FV (NO CARE/CUSTODY),2013,7
2912,INJURY DISABLED INDIVIDUAL,2013,151
2913,INJURY TO CHILD,2013,72
2914,INJURY TO CHILD (CARE/CUSTODY),2013,22
2915,INJURY TO ELDERLY PERSON,2013,24
2916,INTER EMERG PHONECALL FAM/DATE,2013,28
2917,INTERFERENCE PUBLIC DUTIES,2013,3
2918,INTERFERING W/EMERG PHONE CALL,2013,5
2919,INVASIVE VISUAL RECORDING,2013,18
2920,KEEPING GAMBLING PLACE,2013,1
2921,KIDNAPPING,2013,7
2922,KIDNAPPING FAM VIO,2013,1
2923,LIQUOR LAW VIOLATION/OTHER,2013,45
2924,LITTERING,2013,37
2925,MAKING TOBACCO AVAIL TO MINOR,2013,3
2926,MANF CONTROLLED SUB - OTHER,2013,1
2927,MANF CONTROLLED SUB- SYN NARC,2013,1
2928,MANSLAUGHTER,2013,1
2929,MISAPPLY FIDUCIARY PROP,2013,7
2930,MONEY LAUNDERING,2013,1
2931,MURDER,2013,10
2932,NUISANCE ABATEMENT,2013,8
2933,OBSCENE DISPLAY - DISTRIBUTION,2013,1
2934,OBTAIN CONTROLLED SUB BY FRAUD,2013,31
2935,OBTAIN DANG DRUG BY FRAUD,2013,1
2936,OFFICIAL OPPRESSION,2013,2
2937,ONLINE IMPERSONATION,2013,33
2938,PAROLE VIOL,2013,85
2939,POSS CONTROLLED SUB/NARCOTIC,2013,702
2940,POSS CONTROLLED SUB/OTHER,2013,51
2941,POSS CONTROLLED SUB/SYN NARC,2013,48
2942,POSS CRIMINAL INSTRUMENT,2013,1
2943,POSS DANG DRUG,2013,29
2944,POSS OF ALCOHOL - AGE 17 TO 20,2013,22
2945,POSS OF ALCOHOL-AGE 16 & UNDER,2013,4
2946,POSS OF DRUG PARAPHERNALIA,2013,471
2947,POSS OF FIREARM BY FELON,2013,43
2948,POSS OF PROHIBITED WEAPON,2013,33
2949,POSS/PROMO CHILD PORNOGRAPHY,2013,15
2950,POSSESSION OF FORGED WRITING,2013,1
2951,POSSESSION OF MARIJUANA,2013,1216
2952,PROBATION VIOL,2013,9
2953,PROMOTION OF PROSTITUTION,2013,7
2954,PROSTITUTION,2013,124
2955,PROTECTIVE ORDER,2013,336
2956,PROWLER,2013,15
2957,PUBLIC INTOXICATION,2013,1264
2958,PUBLIC LEWDNESS,2013,7
2959,PURSE SNATCHING,2013,4
2960,RAPE,2013,159
2961,RAPE OF A CHILD,2013,16
2962,RECKLESS CONDUCT,2013,3
2963,RECKLESS DAMAGE,2013,34
2964,RESISTING ARREST OR SEARCH,2013,42
2965,RETALIATION,2013,22
2966,ROBBERY BY ASSAULT,2013,103
2967,ROBBERY BY THREAT,2013,26
2968,RUNAWAY CHILD,2013,1045
2969,SECURING EXEC-DOC BY DECEPTION,2013,2
2970,SERIOUS INJURY TO A CHILD,2013,1
2971,SEXUAL ASSAULT OF CHILD/OBJECT,2013,92
2972,SEXUAL ASSAULT W/ OBJECT,2013,74
2973,SEXUAL PERFORMANCE BY CHILD,2013,3
2974,SIT AND LIE ORDINANCE VIOL,2013,14
2975,SMUGGLING ILLEGAL ALIEN,2013,3
2976,STALKING,2013,33
2977,STATUTORY RAPE OF CHILD,2013,4
2978,SUSPICIOUS PERSON,2013,7
2979,TAKE WEAPON FRM POLICE OFFICER,2013,5
2980,TAMPERING WITH CONSUMER PROD,2013,1
2981,TAMPERING WITH EVIDENCE,2013,18
2982,TAMPERING WITH GOV RECORD,2013,2
2983,TELECOMMUNICATION CRIMES/OTHER,2013,4
2984,TERRORISTIC THREAT,2013,412
2985,TERRORISTIC THREAT-FAM/DAT VIO,2013,182
2986,THEFT,2013,4799
2987,THEFT BY CHECK,2013,15
2988,THEFT BY EMBEZZLEMENT,2013,5
2989,THEFT BY FALSE PRETEXT/BUNCO,2013,4
2990,THEFT BY PUBLIC SERVANT,2013,3
2991,THEFT BY SHOPLIFTING,2013,707
2992,THEFT CATALYTIC CONVERTER,2013,10
2993,THEFT FROM AUTO,2013,303
2994,THEFT FROM BUILDING,2013,79
2995,THEFT FROM PERSON,2013,168
2996,THEFT OF AUTO PARTS,2013,215
2997,THEFT OF BICYCLE,2013,701
2998,THEFT OF HEAVY EQUIPMENT,2013,7
2999,THEFT OF LICENSE PLATE,2013,208
3000,THEFT OF METAL,2013,145
3001,THEFT OF SERVICE,2013,401
3002,THEFT OF TELECOMMUNICATION SRV,2013,2
3003,THEFT OF TRAILER,2013,61
3004,THEFT- APPROPRIATE STOLEN PROP,2013,5
3005,TOBACCO VIOL - AGE 17,2013,4
3006,TOBACCO VIOL - UNDER AGE 17,2013,5
3007,TRADEMARK COUNTERFEITING,2013,11
3008,TRAFFICKING OF PERSONS,2013,10
3009,TRUANCY,2013,5
3010,UNLAWFUL CARRY-LIC HOLDER,2013,2
3011,UNLAWFUL CARRYING WEAPON,2013,52
3012,UNLAWFUL INTERCEPTION,2013,2
3013,UNLAWFUL RESTRAINT,2013,11
3014,UNLAWFUL RESTRAINT FAM/DAT VIO,2013,9
3015,URINATING IN PUBLIC PLACE,2013,43
3016,VIOL CITY ORDINANCE -  GAME RM,2013,3
3017,VIOL CITY ORDINANCE - AIRPORT,2013,1
3018,VIOL CITY ORDINANCE - CURFEW,2013,80
3019,VIOL CITY ORDINANCE - DOG,2013,131
3020,VIOL CITY ORDINANCE - OTHER,2013,537
3021,VIOL CITY ORDINANCE - SMOKING,2013,38
3022,VIOL CITY ORDINANCE - SOUND,2013,10
3023,VIOL CITY ORDINANCE - TAXI,2013,2
3024,VIOL CITY ORDINANCE - WRECKER,2013,70
3025,VIOL CITY ORDINANCE -FIREWORK,2013,5
3026,VIOL GLASS CONTAINER,2013,2
3027,VIOL OF BOND CONDITIONS,2013,1
3028,VIOL OF COURT ORDER-NON EPO-PO,2013,1
3029,VIOL OF EMERG PROTECTIVE ORDER,2013,58
3030,VIOL OF PARK CURFEW,2013,36
3031,VIOL OF PROTECTIVE ORDER,2013,157
3032,VIOL STATE LAW - OTHER,2013,175
3033,VIOL STAY AWAY ORDER,2013,5
3034,VIOL TEMP EX PARTE  ORDER,2013,6
3035,VOCO - ALCOHOL  CONSUMPTION,2013,95
3036,VOCO AMPLIFIED MUSIC/VEHICLE,2013,17
3037,VOCO SOLICITATION PROHIBIT,2013,158
3038,WARRANT ARREST NON TRAFFIC,2013,1256
3039,WEAPON VIOL - OTHER,2013,7
3040,ABUSE OF OFFICIAL CAPACITY,2014,2
3041,AGG ASLT ENHANC STRANGL/SUFFOC,2014,80
3042,AGG ASLT STRANGLE/SUFFOCATE,2014,273
3043,AGG ASLT W/MOTOR VEH FAM/DAT V,2014,18
3044,AGG ASSAULT,2014,290
3045,AGG ASSAULT FAM/DATE VIOLENCE,2014,197
3046,AGG ASSAULT ON PUBLIC SERVANT,2014,3
3047,AGG ASSAULT WITH MOTOR VEH,2014,39
3048,AGG KIDNAPPING,2014,3
3049,AGG KIDNAPPING FAM VIO,2014,1
3050,AGG PROMOTION OF PROSTITUTION,2014,2
3051,AGG RAPE,2014,10
3052,AGG RAPE OF A CHILD,2014,78
3053,AGG ROBBERY BY ASSAULT,2014,7
3054,AGG ROBBERY/DEADLY WEAPON,2014,168
3055,AGG SEXUAL ASSAULT CHILD/OBJEC,2014,14
3056,AGG SEXUAL ASSAULT W OBJECT,2014,2
3057,AIRPORT - FEDERAL VIOL,2014,3
3058,AIRPORT PLACES WEAPON PROHIBIT,2014,5
3059,APPLIC TO REVOKE PROBATION,2014,86
3060,ARSON,2014,37
